
PH,T,CE,O2,NH,NO,SO,PO,DBO5,IQE,Classe
2.777,0.427,0.002,4.190,1.367,0.026,0.025,0.285,0.626,13.528,1
2.542,0.664,0.002,4.301,1.481,0.034,0.023,0.484,2.449,15.850,1
2.577,0.823,0.004,3.028,3.987,0.052,0.055,31.039,6.720,50.372,4
2.535,0.791,0.006,3.923,246.037,0.635,0.213,72.757,9.739,334.950,3
2.549,0.807,0.007,4.039,10.821,0.128,0.141,25.344,8.999,55.804,4
2.619,0.807,0.007,3.783,7.860,0.082,0.146,5.980,7.461,31.858,2
2.538,0.674,0.007,3.981,22.212,0.079,0.105,29.616,8.885,70.765,4
2.531,0.813,0.004,3.748,143.521,0.585,0.141,53.393,8.600,213.463,3
2.573,0.623,0.006,4.620,2.848,0.143,0.171,2.079,4.044,21.197,1
2.598,0.604,0.005,4.504,3.303,0.170,0.137,24.632,7.825,47.333,2
2.921,0.617,0.006,4.446,10.821,0.104,0.150,25.914,7.461,55.800,4
3.129,0.677,0.007,5.085,10.821,0.033,0.100,0.598,0.490,25.408,2
2.707,0.668,0.007,4.620,11.049,0.111,0.023,22.069,2.905,47.816,2
2.753,0.737,0.009,4.969,1.709,0.112,0.014,5.069,3.360,23.126,1
2.479,0.528,0.002,4.097,2.848,0.033,0.030,0.370,2.164,16.220,1
2.500,0.576,0.002,4.155,2.848,0.027,0.035,0.484,2.267,16.612,1
2.503,0.674,0.002,3.574,3.075,0.038,0.032,0.541,2.312,15.924,1
2.742,0.677,0.002,4.126,7.973,0.034,0.036,1.111,2.563,22.854,1
2.479,0.832,0.003,3.371,7.973,0.049,0.086,48.552,8.258,73.641,4
2.152,0.813,0.008,0.587,463.597,1.173,0.127,79.449,45.050,584.016,3
2.725,0.478,0.004,5.143,2.392,0.014,0.024,0.313,1.709,17.455,1
2.633,0.487,0.002,4.504,1.936,0.015,0.024,0.826,1.538,16.029,1
2.725,0.528,0.002,4.138,1.253,0.026,0.030,0.313,1.196,13.956,1
2.570,0.791,0.002,4.126,2.050,0.032,0.025,0.541,2.449,16.282,1
2.654,0.886,0.004,2.859,4.442,0.056,0.059,31.466,8.258,52.575,4
2.408,0.886,0.008,1.831,350.261,0.743,0.226,78.310,22.439,451.521,3
2.500,0.813,0.008,3.644,20.161,0.120,0.169,31.039,10.536,71.328,4
2.609,0.864,0.007,3.615,8.771,0.084,0.157,8.828,8.999,36.803,2
2.514,0.807,0.007,4.225,14.466,0.086,0.127,42.857,9.397,77.284,5
2.802,0.905,0.005,2.644,238.633,0.584,0.153,56.811,14.466,314.424,3
2.693,0.744,0.006,3.760,8.771,0.147,0.196,2.705,6.777,28.937,2
2.605,0.740,0.006,3.795,4.215,0.177,0.144,31.182,9.056,54.672,4
2.760,0.718,0.006,3.993,17.314,0.107,0.173,31.182,7.894,66.889,4
2.725,0.744,0.007,4.980,12.530,0.033,0.103,0.655,0.558,26.682,2
2.654,0.740,0.007,4.341,16.630,0.113,0.022,22.924,3.360,54.080,4
2.742,0.810,0.009,4.870,2.392,0.113,0.015,4.556,3.759,23.558,1
